"","have.liberal.policy","opinion","rescale.opinion.","nyt.bypolicygroup.full","rescale.nyt.bypolicygroup.full.","rescale.nyt.bypolicygroup.full....rescale.opinion.","EWM.full","rescale.EWM.full.","Berry.full","rescale.Berry.full.","X.legislative.share.dem.mean.full.","rescale.legislative.share.dem.mean.full.","X.gov.control.mean.dem.full.","rescale.gov.control.mean.dem.full.","Powerful.full.strong.balance","ostate.full","issue.full","term.limits.full","term.limits.full...rescale.opinion.","dirdem.full","dirdem.full...rescale.opinion.","prof.full","rescale.prof.full.","rescale.prof.full....rescale.opinion.","turnout.full","rescale.turnout.full.","rescale.turnout.full....rescale.opinion.","onepartyness.full","rescale.onepartyness.full.","rescale.onepartyness.full....rescale.opinion.","courtelected.full","rescale.opinion....courtelected.full","congruence","size.of.majority","rescale.size.of.majority.","conservative.opinion.majority","flip.EWM.against","flip.Berry.against","flip.gov.control.mean.dem.full","flip.legislative.share.dem.mean.full","flip.powerful.balance.against","policy.direction.full"
"1692",0,36.8217286270018,-0.282657219158819,5.55837127188234,0.0375652704265294,-0.0106180948757118,-16.6000003814697,-0.14191734351072,50.1997604370117,0.0593031784849722,0.567056094606717,0.117653680267636,0.555555555555556,0.188787418644147,0,"TN","suicide",0,0,0,0,0.11599999666214,-0.294100186964758,0.0831295410015471,54.5,-0.506093412644857,0.143050956652792,7,0.036041423824832,-0.0101873686328514,1,-0.282657219158819,1,63.1782713729982,-0.174907830779532,1,-0.14191734351072,0.0593031784849722,-0.188787418644147,-0.117653680267636,0,"liberal"
"1693",0,40.1316357703495,-0.19867124753646,5.55837127188234,0.0375652704265294,-0.0074631391396831,-23.2000007629395,-0.604501543940026,35.2950401306152,-0.337224982346394,0.521016408999761,-0.0450360280724944,0.222222222222222,-0.490304015279072,0,"TX","suicide",0,0,0,0,0.199000000953674,0.0686088158109473,-0.0136305990291601,52.5299987792969,-0.672655054492776,0.133637218837786,1,-0.639735272890767,0.127097004758287,1,-0.19867124753646,1,59.8683642296505,-0.333404784500697,1,-0.604501543940026,-0.337224982346394,0.490304015279072,0.0450360280724944,0,"liberal"
"1694",0,29.4137850866231,-0.47062724641856,5.55837127188234,0.0375652704265294,-0.0176792397818061,-28,-0.940926344061398,7.34254884719849,-1.0808786525539,0.310002933359808,-0.790691007143724,0,-0.943031637894551,-1,"UT","suicide",0,0,1,-0.47062724641856,0.0649999976158142,-0.516969558521422,0.243299959809155,55.3300018310547,-0.435917584191356,0.205154692313409,18,1.27496536780343,-0.600033440328355,1,-0.47062724641856,1,70.5862149133769,0.179826134143985,1,-0.940926344061398,-1.0808786525539,0.943031637894551,0.790691007143724,-1,"liberal"
"1695",0,47.0260021965865,-0.0237327861382834,5.55837127188234,0.0375652704265294,-0.000891528529259605,-17.8999996185303,-0.23303235455265,41.6830101013184,-0.167278151284973,0.491332196527057,-0.149930659862963,0.555555555555556,0.188787418644147,-1,"VA","suicide",0,0,0,0,0.130999997258186,-0.228550367970569,0.00542413700487148,60.7700004577637,0.0240288835533066,-0.00057027235451234,2,-0.527105823438168,0.0125096897799018,0,0,1,52.9739978034135,-0.663545791203025,1,-0.23303235455265,-0.167278151284973,-0.188787418644147,0.149930659862963,-1,"liberal"
"1696",0,57.9985392275012,0.254685653954757,5.55837127188234,0.0375652704265294,0.00956733546456796,-11.3999996185303,0.222542968023455,85.0991363525391,0.987773157221011,0.542163848876953,0.0296923455122502,0.672222222305007,0.426469420685928,0,"VT","suicide",0,0,0,0,0.143999993801117,-0.171740542207043,-0.0437398523025453,65.6999969482422,0.440855178445399,0.112279489421708,4,-0.301846924532968,-0.0768760813689112,0,0,0,57.9985392275012,-0.422942512901316,0,-0.222542968023455,-0.987773157221011,0.426469420685928,0.0296923455122502,0,"liberal"
"1697",1,62.3980348007633,0.366318970046812,5.55837127188234,0.0375652704265294,0.0137608711721762,-5.90000009536743,0.6080297460132,71.5315704345703,0.626818919247042,0.526249626444446,-0.0265434904165118,1,1.09424266387511,0,"WA","suicide",0,0,1,0.366318970046812,0.196999996900558,0.0598688225802843,0.0219310854255251,64.870002746582,0.370679995049611,0.135787114003531,6,-0.0765880256277679,-0.0280556466658828,1,0.366318970046812,1,62.3980348007633,-0.212269942320824,0,-0.6080297460132,-0.626818919247042,1.09424266387511,-0.0265434904165118,0,"liberal"
"1698",0,49.969098958337,0.0509456958883247,5.55837127188234,0.0375652704265294,0.00191378884311265,-10.5,0.285622601335809,40.9511985778809,-0.186747411458834,0.490956989427408,-0.151256523252437,0.277777777777778,-0.377122109625202,0,"WI","suicide",0,0,0,0,0.439000010490417,1.11740591971797,0.0569270221697655,71.629997253418,0.942230800251467,0.0480026038062241,2,-0.527105823438168,-0.0268537729818459,1,0.0509456958883247,1,50.030901041663,-0.804477802598451,1,0.285622601335809,-0.186747411458834,0.377122109625202,0.151256523252437,0,"liberal"
"1699",0,51.2585733914471,0.0836649712204439,5.55837127188234,0.0375652704265294,0.00314289726912378,-9.19999980926514,0.376737679219353,72.5013122558594,0.65261812466467,0.765343139568965,0.818337472679546,0.777777777777778,0.641515041259627,-1,"WV","suicide",0,0,0,0,0.125,-0.254770282544666,-0.0213153483569238,50.4300003051758,-0.850207834689985,-0.0711326140207336,14,0.824447569993031,0.0689773822162319,1,0.0836649712204439,0,51.2585733914471,-0.745689951706755,0,-0.376737679219353,-0.65261812466467,0.641515041259627,0.818337472679546,1,"liberal"
"1700",0,52.5091515269743,0.115397287340859,5.55837127188234,0.0375652704265294,0.00433493030544729,-17.7999992370605,-0.22602347669945,24.3486309051514,-0.6284454432911,0.295283568816053,-0.842704592662515,0.555555555555556,0.188787418644147,0,"WY","suicide",0,0,1,0.115397287340859,0.0540000014007092,-0.565039407333757,-0.0652040148470023,63.4300003051758,0.248929222316571,0.0287257569952019,8,0.148670873277432,0.0171562154828123,1,0.115397287340859,0,52.5091515269743,-0.685805243076869,0,0.22602347669945,0.6284454432911,0.188787418644147,-0.842704592662515,0,"liberal"
"1701",1,17.9757509307525,-0.760857265094828,5.34805945844285,-0.0743606641662487,0.0565778515681669,-21.6205,-0.493796687080742,37.0987281799316,-0.289239304641191,0.397222222553359,-0.482485585376286,0.611111111111111,0.301969324298017,0,"AK","termlimits",0,0,1,-0.760857265094828,0.226999998092651,0.190968460568662,-0.145299740627642,68.5,0.677592648746819,-0.515551289573865,5,-0.189217475080368,0.143967490597797,1,-0.760857265094828,0,82.0242490692475,0.727543484435128,1,-0.493796687080742,-0.289239304641191,-0.301969324298017,0.482485585376286,0,"conservative"
